id,platform_url,source_url,app_name,platform_name,version,users_count,processes_count,assemblies_count,comments_count,users,participatory_processes,assemblies,comments,meetings,proposals,accepted_proposals,votes,endorsements,survey_answers,results,debates,logo_url,background-color
49,https://ecrivons.angers.fr,https://github.com/OpenSourcePolitics/decidim-ang,OSP Agora,Ecrivons Angers,0.27.4,21828,7,2,3942,21832,41,3,4461,182,3247,996,1023,8320,16743,95,0,https://ecrivons.angers.fr/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFFZIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--d54a049fa3c8720b732ea6bba52b48e46a156a05/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--8a7b9d981857118ee220d6f4862d929386a4a2fc/logo_ecrivons_angers__1_.png,#1a181d
57,https://participation.u-bordeaux.fr,https://github.com/OpenSourcePolitics/decidim-ubx,OSP Agora,Université de Bordeaux,0.27.4,47739,0,8,784,47737,18,12,1218,40,544,72,923,1971,128,28,6,https://participation.u-bordeaux.fr/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcHBQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ff91c61ce5d4e23560599be7bd92f56755168965/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJYW5CbkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--19c29fe63be9c5e2d3465b43f4f3332cee87bef8/Universite_Bordeaux_RVB-01.jpg,#1a181d
59,https://participate.oidp.net,,Participate OIDP,OIDP,0.27.3,134727,0,0,10355,182681,23,0,10887,9,958,233,123779,3325,0,0,0,https://participate.oidp.net/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBFUT09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--21431a8b69560e8f0aaadcb8be211ca14fcd538a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--0e28e88a68ac78ed451cac0253bd2409bdc64337/OIDP_LOGO_RGB.png,#1a181d
71,https://democratie.brussels,,My Application Name,democratie.brussels,0.27.10,16227,0,6,0,16197,0,6,0,1,0,0,15,0,0,0,0,,
90,https://participez.villeurbanne.fr,https://github.com/OpenSourcePolitics/osp-app/tree/alt/villeurbanne,OSP Agora,Participez Villeurbanne,0.27.4,14294,3,0,2517,14291,6,1,3464,52,1499,200,24,4203,12888,59,2,https://participez.villeurbanne.fr/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZzBHIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--38625b2afcfc9983e5b0ccefc065d04b296b7416/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--0929544f6363b73db2d995ae5971a596f2809f7b/villeurvert.png,#1a181d
104,https://encomuparticipa.barcelonaencomu.cat,,Fem Barcelona En Comú,Barcelona En Comú,0.27.5,5435,1,11,142,5435,21,22,406,78,300,25,3479,18,193,0,2,https://encomuparticipa.barcelonaencomu.cat/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZE09IiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9ae32fee1d304869243dc1f2748eb2e8045d5a3c/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--ca79544848acde0055ffffccc0d7947f05c0f233/Logo_normal.png,#ffffff
110,https://participate.indices-culture.eu,,InDICES Participatory Platform,inDICEs Participatory Space,0.26.1,19262,6,8,49,11651,36,8,95,93,171,23,113,67,7595,10,1,https://participate.indices-culture.eu/decidim-packs/media/images/logo-full-9f40d305920f3a909e06.svg,#fcce06
116,https://participa.affac.cat,,Participa Affac,aFFaC,0.27.9,14102,0,2,8,14092,5,2,406,0,4,1,0,0,72471,0,5,https://participa.affac.cat/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcmdYIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--04122dc859ae234057048b3af0e09eede583d2c9/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--ce3331eb13b8a134b18068d6a911e513686a6662/Logotip-horitzontal--negatiu.png,#1a181d
118,https://parlonsensemble-cachan.fr,https://github.com/OpenSourcePolitics/decidim-cac,OSP Agora,Parlons Ensemble de Cachan,0.27.4,1481,3,8,188,1479,19,9,282,83,258,39,0,913,2681,38,3,https://parlonsensemble-cachan.fr/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM3RlRGc9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e9cae660f03a7b9a653135a4a7ece9bf77c0e66a/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--b9cfac026c0c9f8c306082e63ae18f7f1bb25e1a/Logo%20plateforme%20participative%20RVB.png,#1a181d
133,https://participons.chambery.fr,https://github.com/OpenSourcePolitics/decidim-chbry,OSP Agora,Chambéry,0.27.4,2094,9,11,105,2094,27,12,129,161,236,94,0,264,1292,0,0,https://participons.chambery.fr/rails/active_storage/representations/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcndQIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--a928961b843c6c49a71c026a7662a49bc4689633/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaDdCem9MWm05eWJXRjBTU0lJY0c1bkJqb0dSVlE2RW5KbGMybDZaVjkwYjE5bWFYUmJCMmtDV0FKcEFhQT0iLCJleHAiOm51bGwsInB1ciI6InZhcmlhdGlvbiJ9fQ==--bcf34f9e6856b2f013c7752efd3649564ad4e259/logo.png,var(--header_background)
